COMMON.NAME,SCIENTIFIC.NAME,GROUP,ESA.STATUS,IUCN.STATUS,YEAR,BYCATCH,UNIT,CV,FOOTNOTE.S.,REGION,FISHERY.TYPE,FISHERY,TOTAL.FISHERY.BYCATCH,TOTAL.FISHERY.LANDINGS,TOTAL.CATCH,FISHERY.BYCATCH.RATIO,OBSERVER.COVERAGE,MMPA Category
Sea anemones (unidentified),Actiniaria,invertebrate,,,2013,2954.23,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Anoplopoma fimbria,fish,,not assessed,2013,371116.73,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Sea star,Asteroidea,invertebrate,,,2013,957601.19,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Pacific herring,Clupea pallasii,fish,,not assessed,2013,0,POUND,NA,a,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Large sculpins,Cottidae,fish,,,2013,1368007.05,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Other sculpins,Cottidae,fish,,,2013,87631.85,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Miscellaneous crustaceans (unidentified),Crustacea,invertebrate,,,2013,0.55,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Miscellaneous crabs (unidentified),Decapoda,invertebrate,,,2013,184.48,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
"Urchins, dollars and/or cucumbers",Echinodermata,invertebrate,,,2013,320.66,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Sharks,Elasmobranchii,fish,,,2013,1530489.72,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Walleye pollock - Aleutian Islands,Gadus chalcogrammus,fish,,not assessed,2013,32.14,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Walleye pollock - Eastern Bering Sea,Gadus chalcogrammus,fish,,not assessed,2013,69.02,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Walleye pollock - Western / Central Gulf of Alaska,Gadus chalcogrammus,fish,,not assessed,2013,20195.12,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Pacific cod,Gadus macrocephalus,fish,,not assessed,2013,886577.89,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Pacific cod - Gulf of Alaska,Gadus macrocephalus,fish,,not assessed,2013,3866755.12,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Snails,Gastropoda,invertebrate,,,2013,1803.18,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Greenlings,Hexagrammidae,fish,,,2013,1123.31,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Flathead sole - Gulf of Alaska,Hippoglossoides elassodon,fish,,not assessed,2013,165.34,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Pacific halibut,Hippoglossus stenolepis,fish,,not assessed,2013,3483163.88,POUND,NA,g,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Golden king crab,Lithodes aequispinus,invertebrate,,not assessed,2013,2483.82,POUND,NA,a,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Grenadiers,Macrouridae,fish,,,2013,2000215.1,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Sea pens and whips,Octocorallia,invertebrate,,,2013,43.75,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Octopus,Octopoda,invertebrate,,,2013,210183.94,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Chinook salmon,Oncorhynchus tshawytscha,fish,,not assessed,2013,0,POUND,NA,a,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Brittle stars (unidentified),Ophiuroidea,invertebrate,,,2013,582.14,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Hermit crabs (unidentified),Paguroidea,invertebrate,,,2013,22.69,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Atka mackerel,Pleurogrammus monopterygius,fish,,not assessed,2013,1731.81,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Atka mackerel - Bering Sea / Aleutian Islands,Pleurogrammus monopterygius,fish,,not assessed,2013,122.03,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Flatfishes,Pleuronectiformes,fish,,,2013,17135.15,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Sponges (unidentified),Porifera,invertebrate,,,2013,1638.71,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Big skate,Raja binoculata,fish,,LC,2013,905582.41,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Longnose skate,Raja rhina,fish,,LC,2013,1434430.53,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Skates,Rajidae,fish,,,2013,2174945.63,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Greenland halibut - Bering Sea / Aleutian Islands,Reinhardtius hippoglossoides,fish,,not assessed,2013,95768.47,POUND,NA,b,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Arrowtooth flounder - Bering Sea / Aleutian Islands,Reinhardtius stomias,fish,,not assessed,2013,49816.45,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Arrowtooth flounder - Gulf of Alaska,Reinhardtius stomias,fish,,not assessed,2013,233927,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Non-chinook salmon,Salmonidae,fish,,,2013,0,POUND,NA,a,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Rockfish,Sebastes,fish,,,2013,346246.22,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Pacific ocean perch - Bering Sea / Aleutian Islands,Sebastes alutus,fish,,not assessed,2013,16.23,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Pacific ocean perch - Gulf of Alaska,Sebastes alutus,fish,,not assessed,2013,499.51,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Shortraker rockfish,Sebastes borealis,fish,,not assessed,2013,218410.65,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Dark rockfish,Sebastes ciliatus,fish,,not assessed,2013,1839.75,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Northern rockfish - Bering Sea / Aleutian Islands,Sebastes polyspinis,fish,,not assessed,2013,4278.08,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Northern rockfish - Western / Central Gulf of Alaska,Sebastes polyspinis,fish,,not assessed,2013,10125.76,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Dusky rockfish - Gulf of Alaska,Sebastes variabilis,fish,,not assessed,2013,28877.21,POUND,NA,f,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Miscellaneous fish (unidentified),Teleostei,fish,,,2013,687560.79,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Benthic urochordata,Urochordata,invertebrate,,,2013,239.44,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Eelpouts,Zoarcidae,fish,,,2013,284.56,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex,,fish,,,2013,8514.33,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Bering Sea / Aleutian Islands Flathead Sole Complex,,fish,,,2013,207.25,POUND,NA,d,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Bering Sea / Aleutian Islands Rock Sole Complex,,fish,,,2013,1736.34,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
"Bryozoans, hydroids and corals",,invertebrate,,,2013,5932.41,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Gulf of Alaska Blackspotted and Rougheye Rockfish Complex,,fish,,,2013,12725.93,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Gulf of Alaska Deepwater Flatfish Complex,,fish,,,2013,6541.48,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Gulf of Alaska Demersal Shelf Rockfish Complex,,fish,,,2013,8558.55,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Gulf of Alaska Thornyhead Rockfish Complex,,fish,,,2013,21703.73,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Invertebrates (unidentified),,invertebrate,,,2013,490.05,POUND,NA,c,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Shallow water flatfish,,fish,,,2013,12876.79,POUND,NA,,AK,longline,Alaska Halibut Longline,21084486.15,28130444.67,49214930.82,0.428416454,,III
Sea anemones (unidentified),Actiniaria,invertebrate,,,2010,2288.6,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pacific sand lance,Ammodytes hexapterus,fish,,not assessed,2010,22.2,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Anoplopoma fimbria,fish,,not assessed,2010,44.09,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Sea star,Asteroidea,invertebrate,,,2010,15762.54,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Bivalves,Bivalvia,invertebrate,,,2010,97.4,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Squid,Cephalopoda,invertebrate,,,2010,69774.1,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Snow crab,Chionoecetes opilio,invertebrate,,not assessed,2010,11.57,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Large sculpins,Cottidae,fish,,,2010,903767.41,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Other sculpins,Cottidae,fish,,,2010,360785.81,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Miscellaneous crustaceans (unidentified),Crustacea,invertebrate,,,2010,75.09,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Miscellaneous crabs (unidentified),Decapoda,invertebrate,,,2010,705.13,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
"Urchins, dollars and/or cucumbers",Echinodermata,invertebrate,,,2010,5026.83,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Sharks,Elasmobranchii,fish,,,2010,321.87,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pacific cod - Bering Sea / Aleutian Islands,Gadus macrocephalus,fish,,not assessed,2010,18995.03,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Snails,Gastropoda,invertebrate,,,2010,828.67,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Greenlings,Hexagrammidae,fish,,,2010,1326.87,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pacific halibut,Hippoglossus stenolepis,fish,,not assessed,2010,122135.38,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Golden king crab,Lithodes aequispinus,invertebrate,,not assessed,2010,5812.88,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Grenadiers,Macrouridae,fish,,,2010,454131.93,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Lanternfishes,Myctophidae,fish,,,2010,120.95,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Sea pens and whips,Octocorallia,invertebrate,,,2010,82.21,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Octopus,Octopoda,invertebrate,,,2010,1942.27,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Chinook salmon,Oncorhynchus tshawytscha,fish,,not assessed,2010,1671.64,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Brittle stars (unidentified),Ophiuroidea,invertebrate,,,2010,188.34,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Other osmerids,Osmeridae,fish,,,2010,5.4,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Hermit crabs (unidentified),Paguroidea,invertebrate,,,2010,70.99,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pandalid shrimp,Pandalidae,invertebrate,,,2010,1074.51,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Red king crab,Paralithodes camtschaticus,invertebrate,,not assessed,2010,1165.1,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Atka mackerel - Bering Sea / Aleutian Islands,Pleurogrammus monopterygius,fish,,not assessed,2010,8554178.27,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Flatfishes,Pleuronectiformes,fish,,,2010,6027.44,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Sponges (unidentified),Porifera,invertebrate,,,2010,98491.07,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Greenland halibut - Bering Sea / Aleutian Islands,Reinhardtius hippoglossoides,fish,,not assessed,2010,2996.08,POUND,NA,b,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Arrowtooth flounder - Bering Sea / Aleutian Islands,Reinhardtius stomias,fish,,not assessed,2010,244616.11,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Non-chinook salmon,Salmonidae,fish,,,2010,4584.56,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Scypho jellies,Scyphozoa,invertebrate,,,2010,1575.11,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Rockfish,Sebastes,fish,,,2010,62615.69,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Rougheye rockfish,Sebastes aleutianus,fish,,not assessed,2010,804.69,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pacific ocean perch - Bering Sea / Aleutian Islands,Sebastes alutus,fish,,not assessed,2010,500610.27,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Shortraker rockfish,Sebastes borealis,fish,,not assessed,2010,606.27,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Northern rockfish - Bering Sea / Aleutian Islands,Sebastes polyspinis,fish,,not assessed,2010,1847087.95,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pricklebacks,Stichaeidae,fish,,,2010,33.97,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Miscellaneous fish (unidentified),Teleostei,fish,,,2010,284083.46,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Walleye pollock - Aleutian Islands,Theragra chalcogramma,fish,,not assessed,2010,131020.72,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Benthic urochordata,Urochordata,invertebrate,,,2010,397.87,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Eelpouts,Zoarcidae,fish,,,2010,778.21,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex,,fish,,,2010,3119.54,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Bering Sea / Aleutian Islands Flathead Sole Complex,,fish,,,2010,3996.98,POUND,NA,d,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Bering Sea / Aleutian Islands Rock Sole Complex,,fish,,,2010,73949.66,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
"Bryozoans, hydroids and corals",,invertebrate,,,2010,15967.99,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Invertebrates (unidentified),,invertebrate,,,2010,32516.22,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,13838292.94,163909573.6,177747866.5,0.077853497,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Sea anemones (unidentified),Actiniaria,invertebrate,,,2011,8149.01,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,5510371.89,123608278.9,129118650.8,0.042676808,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Anoplopoma fimbria,fish,,not assessed,2011,791.08,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,5510371.89,123608278.9,129118650.8,0.042676808,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Sea star,Asteroidea,invertebrate,,,2011,20834.72,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,5510371.89,123608278.9,129118650.8,0.042676808,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Bivalves,Bivalvia,invertebrate,,,2011,100.99,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,5510371.89,123608278.9,129118650.8,0.042676808,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Squid,Cephalopoda,invertebrate,,,2011,11161.46,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,5510371.89,123608278.9,129118650.8,0.042676808,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Snow crab,Chionoecetes opilio,invertebrate,,not assessed,2011,133.86,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,5510371.89,123608278.9,129118650.8,0.042676808,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pacific herring,Clupea pallasii,fish,,not assessed,2011,0,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,5510371.89,123608278.9,129118650.8,0.042676808,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
